ID,address,city,country,name,postalCode,state
1,324 Main St,Massena,US,McDonald's,13662,NY
2,530 Clinton Ave,Washington Court House,US,Wendy's,43160,OH
3,408 Market Square Dr,Maysville,US,Frisch's Big Boy,41056,KY
4,6098 State Highway 37,Massena,US,McDonald's,13662,NY
5,139 Columbus Rd,Athens,US,OMG! Rotisserie,45701,OH
6,4182 Tonya Trl,Hamilton,US,Domino's Pizza,45011,OH
7,590 S Main St,Englewood,US,Domino's Pizza,45322,OH
8,401 N Jennings St,Saluda,US,McDonald's,29138,SC
9,205 W Church St,Batesburg,US,Wendy's,29006,SC
10,2711 W. Kings Highway Ste. 18,Paragould,US,Pizza Hut,72450,AR
11,613 W Center St,Sheridan,US,SONIC Drive In,72150,AR
12,512 Highway 425 S Lot B,Monticello,US,Domino's Pizza,71655,AR
13,1535 NW 50th St,Oklahoma City,US,McDonald's,73118,OK
14,125 Towne Center Dr,Lexington,US,Domino's Pizza,40511,KY
15,66 14th St.,Tell City,US,Long John Silver's,47586,IN
16,301 University Blvd,Louisville,US,McDonald's,40208,KY
17,5812 NW Expressway,Oklahoma City,US,McDonald's,73132,OK
18,101 Thomas Garst Ln,Leland,US,Taco Bell,28451,NC
19,1111 New Pointe Blvd,Leland,US,McDonald's,28451,NC
20,782 Old Hickory Blvd Ste 120,Brentwood,US,Qdoba Mexican Grill,37027,TN
21,108 Village Rd NE,Leland,US,McDonald's,28451,NC
22,1116 Old Highway 60,Hardinsburg,US,McDonald's,40143,KY
23,1423 Southwest Pkwy,Wichita Falls,US,McDonald's,76302,TX
24,908 Padre Blvd,South Padre Island,US,McDonald's,78597,TX
25,1131n N Main St,Miami,US,McDonald's,74354,OK
26,3401 Hwy 165 North,Pineville,US,Pizza Hut,71360,LA
27,1631 E Madison Ave,Bastrop,US,Sonic Drive-In,71220,LA
28,301 S Lynn Riggs Blvd,Claremore,US,Domino's Pizza,74017,OK
29,601 E Lincolnway,Minerva,US,McDonald's,44657,OH
30,3211 S 4th St,Leavenworth,US,SONIC Drive In,66048,KS
31,105 Business Loop W,Jamestown,US,Taco Bell,58401,ND
32,1531 University Dr S,Fargo,US,Domino's Pizza,58103,ND
33,718 10th St SE,Jamestown,US,Taco John's,58401,ND
34,1400 24th Ave SW,Minot,US,McDonald's,58701,ND
35,703 S Magnolia St,Woodville,US,Whataburger,75979,TX
36,1535 S Broadway,Minot,US,Pizza Hut,58701,ND
37,775 S Main St,Smithfield,US,Domino's Pizza,84335,UT
38,218 W Main St,Ada,US,Hamburger King,74820,OK
39,3208 S Elm Pl,Broken Arrow,US,SONIC Drive In,74012,OK
40,3056 Classen Blvd Unit A,Norman,US,Domino's Pizza,73071,OK
41,982 Macon St,Warner Robins,US,Burger King,31098,GA
42,6060 San Mateo Blvd NE,Albuquerque,US,Burger King,87109,NM
43,8401 Gateway Blvd W Ste M4,El Paso,US,McDonalds,79925,TX
44,450 N Harrison Ave,Shawnee,US,SONIC Drive In,74801,OK
45,9455 SW Barbur Blvd,Portland,US,Taco Time,97219,OR
46,351 River Hill Dr,Ashland,US,McDonald's,41101,KY
47,18000 Bagley Rd,Cleveland,US,Burger King,44130,OH
48,3700 N 1st Ave,Evansville,US,McDonald's,47710,IN
49,895 N Highway 77 Ste 300,Waxahachie,US,Jimmy John's,75165,TX
50,819 SW 19th St,Oklahoma City,US,Domino's Pizza,73160,OK
51,"95-1249 Meheula Parkway,",Mililani,US,Jersey Mike's Subs,96789,HI
52,1625 Veterans Pkwy,Jeffersonville,US,Popeyes Louisiana Kitchen,47130,IN
53,2730 S Hurstbourne Pkwy Suite 100,Louisville,US,Qdoba Mexican Grill,40220,KY
54,5680 Commercial St SE Ste 100,Salem,US,Domino's Pizza,97306,OR
55,2870 W Loop 1604 S,San Antonio,US,Whataburger,78245,TX
56,1321 Herr Ln Ste 150,Louisville,US,Qdoba Mexican Grill,40222,KY
57,100 Northside Dr,Bennington,US,Taco Bell,5201,VT
58,6611 S Mo Pac Expy Ste B,Austin,US,Whataburger,78749,TX
59,9300 S Interstate 35 Bldg H,Austin,US,Whataburger,78748,TX
60,315 N Stephenson Ave,Iron Mountain,US,Hardee's,49801,MI
61,2439 Springs Rd NE,Hickory,US,McDonald's,28601,NC
62,9651 Natural Bridge Rd,Saint Louis,US,Rally's,63134,MO
63,1665 Dove Park Rd Ste 300,Mandeville,US,Quiznos,70471,LA
64,225 Grant Ave,Auburn,US,Burger King,13021,NY
65,5400 FM 1640 Rd Ste 500,Richmond,US,Whataburger,77469,TX
66,2448 University Ave,Green Bay,US,Domino's Pizza,54302,WI
67,111 Commons Dr,Maumelle,US,SONIC Drive In,72113,AR
68,344 S Service Rd E,Sullivan,US,Taco Bell,63080,MO
69,6490 Memphis Arlington Rd Ste 103,Memphis,US,Domino's Pizza,38135,TN
70,2124 S 1st St,Yakima,US,Taco Bell,98903,WA
71,482 Branson Landing Blvd Ste 105,Branson,US,Jimmy John's,65616,MO
72,406 S Thompson St,Springdale,US,Taco Bell,72764,AR
73,5094 Murfreesboro Rd Ste 1,La Vergne,US,Domino's Pizza,37086,TN
74,801 S Vaughn Dr,Brusly,US,McDonald's,70719,LA
75,5100 NC Highway 87 S Ste 102,Fayetteville,US,Domino's Pizza,28306,NC
76,Co-Op City,Bronx,US,Burger King,10475,NY
77,3898 Cleveland Hwy,Dalton,US,McDonalds,30721,GA
78,1865 Blankenship Rd,West Linn,US,Jack in the Box,97068,OR
79,825 W 1100 S,Brigham City,US,Sonic Drive-In,84302,UT
80,955 S Main St,Brigham City,US,Taco Bell,84302,UT
81,875 W 1150 S,Brigham City,US,Subway,84302,UT
82,524 Indian Boundary Rd,Chesterton,US,Jimmy John's,46304,IN
83,801 University St,Martin,US,McDonald's,38237,TN
84,2505 State Rd,La Crosse,US,Hardee's,54601,WI
85,1610 Sycamore View Rd,Memphis,US,McDonald's,38134,TN
86,2437 George St,La Crosse,US,McDonald's,54603,WI
87,813 N Central Ave,Marshfield,US,Taco John's,54449,WI
88,1101 N Central Ave,Marshfield,US,McDonald's,54449,WI
89,4601 Northfield Rd,Cleveland,US,Mr Hero,44128,OH
90,1601 W Lincoln Ave,Yakima,US,McDonald's,98902,WA
91,5706 W 7800 S,West Jordan,US,McDonald's,84081,UT
92,1014 Highway 82 E,Indianola,US,Taco Bell,38751,MS
93,640 Huebner Rd,Fort Riley,US,Domino's Pizza,66442,KS
94,1418 W Sunset Blvd,Saint George,US,Taco Bell,84770,UT
95,610 E Saint George Blvd,Saint George,US,Taco Bell,84770,UT
96,4651 W 6th St,Lawrence,US,Pizza Hut,66049,KS
97,5540 Old Cheney Rd,Lincoln,US,Amigos/Kings Classic,68516,NE
98,7501 W 135th St,Overland Park,US,Raising Cane's Chicken Fingers,66223,KS
99,4204 Milan Rd,Sandusky,US,McDonalds,44870,OH
100,6300 Gulf Fwy,La Marque,US,Whataburger,77568,TX
101,1302 Highway 35 N,Rockport,US,McDonald's,78382,TX
102,3515 Springdale Rd,Cincinnati,US,Domino's Pizza,45251,OH
103,7720 Laurel Ave,Cincinnati,US,Domino's Pizza,45243,OH
104,123 Creekside Xing,New Braunfels,US,Whataburger,78130,TX
105,793 Roosevelt Trl,Windham,US,Burger King,4062,ME
106,14700 E Indiana Ave,Spokane,US,Taco Time,99216,WA
107,201 Commerce Dr,Jefferson City,US,SONIC Drive In,65109,MO
108,3124 S Ten Mile Dr,Jefferson City,US,McDonald's,65109,MO
109,1417 Jackson Ave W,Oxford,US,Coop DeVille,38655,MS
110,2984 Upland Pkwy,Sidney,US,McDonalds,69162,NE
111,1002 J St,Auburn,US,Amigos/Kings Classic,68305,NE
112,191 7th St,Garden City,US,B. Good,11530,NY
113,544 Conestoga Pkwy,Shepherdsville,US,Domino's Pizza,40165,KY
114,101 Smith Rd,Glasgow,US,McDonald's,42141,KY
115,5212 Jackson St,Alexandria,US,Sonic Drive-In,71303,LA
116,131 S Highway 27,Somerset,US,McDonald's,42501,KY
117,1511 C Goff Blvd S W Plaza Rio Shpg Ctr,Albuquerque,US,Domino's Pizza,87105,NM
118,4800 Frederica St,Owensboro,US,McDonald's,42301,KY
119,300 W Esplanade Ave,Kenner,US,Burger King,70065,LA
120,5963 W Main St,Houma,US,Sonic Drive-In,70360,LA
121,7849 Tramway Blvd NE Ste D,Albuquerque,US,Domino's Pizza,87122,NM
122,400 Clifty Dr,Madison,US,Rally's,47250,IN
123,1228 Saint Charles St,Houma,US,Taco Bell,70360,LA
124,725 Sterlington Hwy,Farmerville,US,Taco Bell,71241,LA
125,1088 Westbank Expy,Westwego,US,Pizza Hut,70094,LA
126,1000 Government St,Baton Rouge,US,Sonic Drive-In,70802,LA
127,314 E Carpenter St,Cleveland,US,Back Yard Burgers,38732,MS
128,120 S Davis Ave,Cleveland,US,McDonald's,38732,MS
129,1231 Holcomb Blvd,Camp Lejeune,US,Wendy's,28547,NC
130,112 E 2nd St,Duluth,US,Domino's Pizza,55805,MN
131,976 William H Wilson Ave Ste 100,Fort Stewart,US,Burger King,31314,GA
132,2910 Lurleen B Wallace Blvd,Northport,US,Sonic Drive-In,35476,AL
133,2441 James St,Coralville,US,Domino's Pizza,52241,IA
134,602 Highway 31 SW,Hartselle,US,Taco Bell,35640,AL
135,107 Jordan Plz,Elizabeth City,US,Domino's Pizza,27909,NC
136,905 W Corbett Ave,Swansboro,US,McDonalds,28584,NC
137,2001 Sutton Ln,Sutton,US,Arby's,26601,WV
138,161 Church St,Burlington,US,Pacific Rim,5401,VT
139,3716 7th St,Bay City,US,Taco Bell,77414,TX
140,443 Killian Rd,Columbia,US,Panda Express,29203,SC
141,122 Hayward Ave,Ames,US,Domino's Pizza,50014,IA
142,1306 Scotland Crossing Dr,Laurinburg,US,Taco Bell,28352,NC
143,1700 Norman Dr Spc 1056,Valdosta,US,Chick-fil-A,31601,GA
144,502 W Columbia Ave,Batesburg,US,Hardee's,29006,SC
145,4965 Centre Pointe Dr,North Charleston,US,Domino's Pizza,29418,SC
146,2441 Northgate St,Ottumwa,US,McDonald's,52501,IA
147,903 E Milam St,Mexia,US,McDonald's,76667,TX
148,5131 Government St,Baton Rouge,US,Captain D's,70806,LA
149,4021 Interstate Highway 69 Access Rd,Corpus Christi,US,Whataburger,78410,TX
150,839 E Mulberry St,Angleton,US,Jack in the Box,77515,TX
151,3900 University Pkwy,Natchitoches,US,Sonic Drive-In,71457,LA
152,1855 Main Ave N,Tillamook,US,McDonald's,97141,OR
153,400 Downs Blvd Ste 100,Franklin,US,Domino's Pizza,37064,TN
154,808 E Liberty St,Mexico,US,SONIC Drive In,65265,MO
155,701 E Main St,Park Hills,US,SONIC Drive In,63601,MO
156,3039 W Peoria Ave,Phoenix,US,Samurai Sam's,85029,AZ
157,324 W Bypass,Andalusia,US,Arby's,36420,AL
158,1411 Q St,Lincoln,US,Amigos/Kings Classic,68508,NE
159,525 W Crawford St,Clay Center,US,SONIC Drive In,67432,KS
160,5802 S Broadway Ave,Tyler,US,McDonald's,75703,TX
161,3112 N Navarro St,Victoria,US,McDonald's,77901,TX
162,2 N Mineral St,Keyser,US,Subway,26726,WV
163,1845 Fry Rd,Katy,US,McDonald's,77449,TX
164,100 W Loop 340,Woodway,US,Whataburger,76712,TX
165,104 E Grant St,Roma,US,McDonald's,78584,TX
166,441 Craig St,Buffalo,US,McDonalds,75831,TX
167,2111 Ave F NW US 287,Childress,US,McDonald's,79201,TX
168,1005 S 14th St,Kingsville,US,Taco Bell,78363,TX
169,4622 S Fort Hood St,Killeen,US,McDonald's,76542,TX
170,404 N Wood St,Gilmer,US,Taco Bell,75644,TX
171,7104 S Fry Rd,Katy,US,McDonald's,77494,TX
172,1265 S Wheeler St,Jasper,US,McDonald's,75951,TX
173,307 E Wise St,Bowie,US,McDonald's,76230,TX
174,705 N McCoy Blvd,New Boston,US,Taco Bell,75570,TX
175,821 S Sam Houston Blvd,San Benito,US,McDonald's,78586,TX
176,2652 S Nc 127 Hwy,Hickory,US,Domino's Pizza,28602,NC
177,1696 N Center St,Lonoke,US,SONIC Drive In,72086,AR
178,651 Terry Pkwy Ste 101,Gretna,US,Domino's Pizza,70056,LA
179,1449 Papillion Dr,Papillion,US,Domino's Pizza,68133,NE
180,323 N 114th St,Omaha,US,Domino's Pizza,68154,NE
181,102 Pavilion Pkwy,Newport,US,Domino's Pizza,41071,KY
182,998 Nc Highway 150 W A,Greensboro,US,Domino's Pizza,27455,NC
183,1518 N Ed Carey Dr,Harlingen,US,Taco Bell,78550,TX
184,1501 7th St,Las Vegas,US,McDonald's,87701,NM
185,1130 Burlington St,Holdrege,US,Sonic Drive-In,68949,NE
186,1630 S Broadway,Minot,US,Taco Bell,58701,ND
187,801 Dakota Ave,Wahpeton,US,Taco John's,58075,ND
188,223 N Josephine Ave,Madison,US,Taco John's,57042,SD
189,327 S Canal St,Carlsbad,US,McDonalds,88220,NM
190,2005 E Madison Ave,Bastrop,US,McDonald's,71220,LA
191,2000 N Date St,Truth Or Consequences,US,Sonic Drive-In,87901,NM
192,320 NW 2nd St,Madison,US,McDonald's,57042,SD
193,681 W Bridge St,Owatonna,US,Taco Bell,55060,MN
194,2121 E Grand Ave,Laramie,US,Taco Bell,82070,WY
195,1401 Mill St,Belle Fourche,US,Taco John's,57717,SD
196,1650 E Bert Kouns Industrial Loop,Shreveport,US,Whataburger,71105,LA
197,600 N Grand Ave,Tahlequah,US,Northeastern State University,74464,OK
198,507 MacArthur Dr,Alexandria,US,McDonald's,71303,LA
199,245 High St,Ellsworth,US,Taco Bell,4605,ME
200,259 High St,Ellsworth,US,McDonald's,4605,ME
201,6001 San Mateo Blvd Ne Ste G1,Albuquerque,US,Pizza Hut,87109,NM
202,304 Keyser Ave,Natchitoches,US,McDonald's,71457,LA
203,192 Water St,Gardiner,US,Domino's Pizza,4345,ME
204,1306 S Thompson St,Springdale,US,SONIC Drive In,72764,AR
205,1310 E Main St,Stigler,US,McDonald's,74462,OK
206,1510 S Mississippi Ave,Atoka,US,Taco Bell,74525,OK
207,207 N Broadway St,Checotah,US,Subway,74426,OK
208,4105 Main St,Springfield,US,Domino's Pizza,97478,OR
209,499 Canal St,Brattleboro,US,Domino's Pizza,5301,VT
210,105 Blake Dr,Wagoner,US,SONIC Drive In,74467,OK
211,5704 Jackson St,Alexandria,US,Subway,71303,LA
212,603 E Main St,Endicott,US,McDonald's,13760,NY
213,1052 Sagamore Pkwy W,West Lafayette,US,Jimmy John's,47906,IN
214,363 Swanton Rd,Saint Albans,US,Taco Bell,5478,VT
215,580 Shelburne Rd Ste 11,Burlington,US,SUBWAY,5401,VT
216,2201 S Park Ave Ste 5,Alexandria,US,Pizza Hut,46001,IN
217,25 Berlin St,Montpelier,US,Domino's Pizza,5602,VT
218,313 2nd St,North Wilkesboro,US,Wendy's,28659,NC
219,127 North St,Houlton,US,Domino's Pizza,4730,ME
220,1215 2nd Ave W,Williston,US,Taco John's,58801,ND
221,7201 Two Notch Rd,Columbia,US,Sarku Japan,29223,SC
222,875 4th St SW,Mason City,US,Taco Bell,50401,IA
223,320 11th Street Sw Plz,Spencer,US,Taco Bell,51301,IA
224,120 E Jefferson St,Washington,US,Taco Bell,52353,IA
225,6694 Highway 431 S,Owens Cross Roads,US,Taco Bell,35763,AL
226,2721a Emanuel Church Rd,West Columbia,US,Pizza Hut,29170,SC
227,837 W Morton Ave,Jacksonville,US,Taco Bell,62650,IL
228,2013 US Route 20,Seneca Falls,US,Burger King,13148,NY
229,2211 W Dekalb St,Camden,US,Chick-fil-A,29020,SC
230,1400 S Higley Blvd,Rawlins,US,Subway,82301,WY
231,3 Spaulding Ave,Malone,US,Domino's Pizza,12953,NY
232,80 Clinton Plz,Clinton,US,Taco Bell,61727,IL
233,776 E Main St,Cobleskill,US,Taco Bell,12043,NY
234,1134 Paterson St,Ogdensburg,US,McDonald's,13669,NY
235,201 Maple City Dr,Monmouth,US,Taco Bell,61462,IL
236,31305 Vine St,Eastlake,US,Burger King,44095,OH
237,2118 Missouri Blvd,Jefferson City,US,Captain D's,65109,MO
238,1212 W Main St,Fairfield,US,McDonald's,62837,IL
239,2333 Missouri Blvd,Jefferson City,US,Jack in the Box,65109,MO
240,550 E Industrial Park Rd,Murphysboro,US,McDonald's,62966,IL
241,220 S Main St,Atmore,US,Burger King,36502,AL
242,1607 S State Route 127,Greenville,US,Taco Bell,62246,IL
243,51-67 E 161st St,Bronx,US,McDonald's,10451,NY
244,253 W 42nd St,New York,US,Five Guys,10036,NY
245,4461 Market Commons Dr,Fairfax,US,Pei Wei,22033,VA
246,14493 Gideon Dr,Woodbridge,US,Wendy's,22192,VA
247,2815 Fern Valley Rd,Louisville,US,Arby's,40213,KY
248,2800 Outer Loop,Louisville,US,McDonald's,40219,KY
249,6501 Paramount Park Dr,Louisville,US,Taco Bell,40213,KY
250,713 McCroskey St,Nixa,US,Arby's,65714,MO
251,3409 W Blue Ridge Dr,Greenville,US,Taco Bell,29611,SC
252,6103 White Horse Rd,Greenville,US,McDonald's,29611,SC
253,2219 Madison Street,Clarksville,US,SONIC Drive In,37043,TN
254,788 Riverside Drive,Clarksville,US,Taco Bell,37040,TN
255,400 Lovell Rd,Knoxville,US,Wendy's,37934,TN
256,13433 Leopard St,Corpus Christi,US,Burger King,78410,TX
257,208 E Highway 90,Dayton,US,Jack in the Box,77535,TX
258,3305 S Campbell Ave Ste E,Springfield,US,Jimmy John's,65807,MO
259,1173 Murfreesboro Rd,Nashville,US,McDonald's,37217,TN
260,2203 E Hubbard St,Mineral Wells,US,Taco Bell,76067,TX
261,2901 Houston Hwy,Victoria,US,Wendy's,77901,TX
262,6201 W Colonial Drive,Orlando,US,Krystal,32808,FL
263,3596 MT Diablo Blvd,Lafayette,US,Baja Fresh,94549,CA
264,31707 LA Highway 16,Denham Springs,US,Mcdonald's,70726,LA
265,903 S Springfield Ave,Bolivar,US,McDonald's,65613,MO
266,1875 S Springfield Ave,Bolivar,US,Taco Bell,65613,MO
267,1905 Southwest Blvd,Jefferson City,US,Taco Bell,65109,MO
268,2605 Missouri Blvd,Jefferson City,US,Taco Bell,65109,MO
269,3407 Missouri Blvd,Jefferson City,US,Chick-fil-A,65109,MO
270,1911 S Springfield Ave,Bolivar,US,Burger King,65613,MO
271,5160 Southport Supply Road,Southport,US,Bojangles' Famous Chicken 'n Biscuits,28461,NC
272,421 N 36th St,Quincy,US,Burger King,62301,IL
273,501 S 8th St,Rogers,US,Arby's,72756,AR
274,2000 S Pleasant St,Springdale,US,Wendy's,72764,AR
275,311 N Gaskill St,Huntsville,US,SUBWAY,72740,AR
276,401 S Thompson St,Springdale,US,Hardee's,72764,AR
277,1260 E Robinson Ave,Springdale,US,McDonald's,72764,AR
278,1300 S Thompson St,Springdale,US,Burger King,72764,AR
279,1407 Main St,Keokuk,US,McDonald's,52632,IA
280,1421 Avenue H,Fort Madison,US,Taco Bell,52627,IA
281,1029 S Range Line Rd,Joplin,US,Taco Bell,64801,MO
282,18710 S Dixie Hwy,Miami,US,Pollo Tropical,33157,FL
283,709 N Jefferson St,Saint James,US,Burger King,65559,MO
284,9601 Jefferson Hwy,New Orleans,US,McDonald's,70123,LA
285,368 S Gloster St,Tupelo,US,Wendy's,38801,MS
286,840 W Main St,Tupelo,US,Burger King,38801,MS
287,207 Highway 15 N,Pontotoc,US,Burger King,38863,MS
288,1130 Murfreesboro Rd,Franklin,US,Arby's,37064,TN
289,116 Highway 15 N,Pontotoc,US,Domino's Pizza,38863,MS
290,1221 S Gloster St,Tupelo,US,Domino's Pizza,38801,MS
291,11292 Old 63 S,Lucedale,US,Burger King,39452-6632,AL
292,2395 Pass Rd,Biloxi,US,Burger King,39531,AL
293,309 S Pearson Rd.,Pearl,US,Waffle House,39208,AL
294,4337 Robinson St,Jackson,US,Popeye's Chicken & Biscuits,39209,AL
295,4725 Clinton Blvd,Jackson,US,Popeye's Chicken & Biscuits,39209,AL
296,605 W US Highway 18,Garner,US,Hardee's,50438,IA
297,202 11th Street Sw Plz,Spencer,US,Burger King,51301,IA
298,1705 W Burlington Ave,Fairfield,US,McDonald's,52556,IA
299,3022 5th Ave S,Fort Dodge,US,Jimmy Johns,50501,IA
300,2313 5th Ave S,Fort Dodge,US,Wendy's,50501,IA
301,2509 5th Ave S,Fort Dodge,US,McDonald's,50501,IA
302,1755 John F Kennedy Rd,Dubuque,US,Arby's,52002,IA
303,1255 E 16th St,Dubuque,US,Wendy's,52001,IA
304,6466 Poplar Ave,Memphis,US,Back Yard Burgers,38119,TN
305,2209 Circle Dr W,Spirit Lake,US,Burger King,51360,IA
306,815 West Second Street,Tifton,US,Krystal,31794,GA
307,810 2nd St W,Tifton,US,Arby's,31794,GA
308,303 S Magnolia Street,Tifton,US,Bojangles' Famous Chicken 'n Biscuits,31793,GA
309,420 Rhomberg Ave,Dubuque,US,Hardee's,52001,IA
310,620 Iowa St,Dubuque,US,McDonald's,52001,IA
311,2196 University Ave,Dubuque,US,Hardee's,52001,IA
312,614 S Highland St,Memphis,US,McDonald's,38111,TN
313,108 E Brazell Street,Reidsville,US,McDonald's,30453,GA
314,6804 Casino Strip Resort Blvd,Robinsonville,US,Checkers,38664,MS
315,2515 Main St,Cedar Falls,US,McDonald's,50613,IA
316,1203 4th Stsw,Waverly,US,McDonald's,50677,IA
317,610 W 1st St,Cedar Falls,US,McDonald's,50613,IA
318,70 Goodman Road,Southaven,US,Krystal,38671,MS
319,1330 Poplar Ave,Memphis,US,Burger King,38104,TN
320,6428 E Shelby Dr,Memphis,US,Burger King,38141,TN
321,3675 Lamar Ave,Memphis,US,Krystal,38118,TN
322,3591 Lamar Ave,Memphis,US,Burger King,38118,TN
323,2090 Union Ave,Memphis,US,Burger King,38104,TN
324,1130 N Quincy Ave,Ottumwa,US,Arby's,52501,IA
325,1122 N Quincy Ave,Ottumwa,US,Burger King,52501,IA
326,2804 Grand Ave,Billings,US,Domino's Pizza,59102,MT
327,904 Main St Ste 1,Billings,US,Domino's Pizza,59105,MT
328,608 Wyoming Ave,Creston,US,McDonald's,50801,IA
329,915 Short St,Decorah,US,McDonald's,52101,IA
330,915 Short St,Decorah,US,Integrated Therapy Specialists: Arnold D Larson,52101,IA
331,506 S Main St,Swainsboro,US,McDonald's,30401,GA
332,302 S Main St,Swainsboro,US,KFC,30401,GA
333,501 S Main St,Swainsboro,US,Hardee's,30401,GA
334,413 S Main St,Swainsboro,US,Burger King,30401,GA
335,115 S Roosevelt Ave,Burlington,US,Wendy's,52601,IA
336,405 S Roosevelt Ave,Burlington,US,Arby's,52601,IA
337,830 N 2nd St,Clinton,US,Jimmy John's,52732,IA
338,729 N 2nd St,Clinton,US,McDonald's,52732,IA
339,825 N 2nd St,Clinton,US,Wendy's,52732,IA
340,1804 Lincoln Way,Clinton,US,McDonald's,52732,IA
341,427 E 6th St,Carroll,US,Jimmy John's,51401,IA
342,912 W Highway 30 St,Carroll,US,McDonald's,51401,IA
343,1515 Plaza Drive,Carroll,US,Arby's,51401,IA
344,915 W US Highway 30,Carroll,US,Burger King,51401,IA
345,605 Flindt Dr,Storm Lake,US,Hardee's,50588,IA
346,613 Flindt Dr,Storm Lake,US,KFC,50588,IA
347,1300 Lake Ave,Storm Lake,US,Burger King,50588,IA
348,2401 4th St SW,Mason City,US,Arby's,50401,IA
349,515 S Delaware Ave,Mason City,US,Hardee's,50401,IA
350,2310 4th St SW,Mason City,US,Burger King,50401,IA
351,1102 Highway 72 E,Corinth,US,Domino's Pizza,38834,MS
352,705 1st Ave E,Newton,US,Burger King,50208,IA
353,317 W 6th St Ste 105-106,Moscow,US,Domino's Pizza,83843,ID
354,120 Boone Heights Dr,Boone,US,Burger King,28607,NC
355,525 W King St,Boone,US,Jimmy John's,28607,NC
356,1778 Blowing Rock Rd,Boone,US,Jimmy John's,28607,NC
357,3100 Foothills Ave,Mountain Home,US,Jack In The Box,83647,ID
358,2910 American Legion Blvd,Mountain Home,US,Wendy's,83647,ID
359,2840 American Legion Blvd,Mountain Home,US,McDonald's,83647,ID
360,946 Carolina Ave,Washington,US,Waffle House,27889,NC
361,1212 N Main Ave,Sioux Center,US,McDonald's,51250,IA
362,869 Pole Line Rd,Twin Falls,US,McDonald's,83301,ID
363,1733 Addison Ave E,Twin Falls,US,Pizza Hut,83301,ID
364,305 Blue Lakes Blvd N,Twin Falls,US,McDonald's,83301,ID
365,200 1st St W,Independence,US,Burger King,50644,IA
366,1811 1st St W,Independence,US,McDonald's,50644,IA
367,215 Wb McLean Dr,Swansboro,US,Quiznos,28584,NC
368,1243 Parkway Drive,Blackfoot,US,Arby's,83221,ID
369,1205 Parkway Dr,Blackfoot,US,Burger King,83221,ID
370,1115 New Pointe Blvd,Leland,US,Arby's,28451,NC
371,700 N Webster St,Taylorville,US,Wendy's,62568,IL
372,610 N Webster St,Taylorville,US,Taco Bell,62568,IL
373,510 N Webster St,Taylorville,US,KFC,62568,IL
374,805 S Kalamazoo St,Paw Paw,US,Arby's,49079,MI
375,2707 Trademark Rd,Wilmington,US,Burger King,28405,NC
376,805 S College Rd,Wilmington,US,Burger King,28403,NC
377,2050 N State Road 50,Bourbonnais,US,McDonalds,60914,IL
378,418 Roland Ave,Holly Ridge,US,Hardee's,28445,NC
379,220 Lake Park Blvd,Carolina Beach,US,McDonald's,28428,NC
380,109 Village Road,Leland,US,Bojangles' Famous Chicken 'n Biscuits,28451,NC
381,104 Village Rd NE,Leland,US,KFC,28451,NC
382,901 North Grand,Springfield,US,McDonald's,62702,IL
383,107 Ariel Circle,Osceola,US,Taco Bell,50213,IA
384,910 Cedar St,Tipton,US,Subway,52772,IA
385,601 Cedar St,Tipton,US,Hardee's,52772,IA
386,2883 S Carolina 160,Fort Mill,US,McDonalds,29708,SC
387,510 Rigby Lake Dr,Rigby,US,Wendy's,83442,ID
388,2740 South Hitt Road,Idaho Falls,US,Taco Bell,83404,ID
389,424 S Woodruff Ave,Idaho Falls,US,Jack in the Box,83401,ID
390,123 S 4th Ave,Pocatello,US,Jack in the Box,83201,ID
391,625 S 5th Ave,Pocatello,US,Jimmy John's,83201,ID
392,1544 Pocatello Creek Rd,Pocatello,US,Subway,83201,ID
393,791 Yellowstone Ave,Pocatello,US,Arby's,83201,ID
394,929 Yellowstone Ave,Pocatello,US,Wendy's,83201,ID
395,1735 E Vienna St,Anna,US,Burger King,62906,IL
396,140 E Vienna St,Anna,US,Hardee's,62906,IL
397,1195 E Vienna Street,Anna,US,Taco Bell,62906,IL
398,568 N 2nd E,Rexburg,US,KFC,83440,ID
399,545 N 2nd E,Rexburg,US,Wendy's,83440,ID
400,461 N 2nd E,Rexburg,US,Jack in the Box,83440,ID
401,175 Valley River Dr,Rexburg,US,McDonald's,83440,ID
402,346 N 2nd E,Rexburg,US,Dairy Queen,83440,ID
403,478 N 2nd E,Rexburg,US,Arby's,83440,ID
404,210 N 1st Ave,Canton,US,Burger King,61520,IL
405,638 N Main St,Canton,US,Hardee's,61520,IL
406,810 E Broadway,Centralia,US,McDonald's,62801,IL
407,600 S Newport Rd,Pontiac,US,Burger King,61764,IL
408,1600 W Reynolds St,Pontiac,US,Taco Bell,61764,IL
409,1396 E Main St,Carbondale,US,McDonald's,62901,IL
410,4601 Broadway St,Mount Vernon,US,Burger King,62864,IL
411,1700 S 10th St,Mount Vernon,US,Burger King,62864,IL
412,3120 James Sanders Blvd,Paducah,US,Taco Bell,42001,KY
413,1440 Columbus St,Ottawa,US,Wendy's,61350,IL
414,5139 Hinkleville Rd,Paducah,US,Wendy's,42001,KY
415,885 E Il Route 38,Rochelle,US,Wendy's,61068-9699,IL
416,328 E Morton Ave,Jacksonville,US,Jimmy John's,62650,IL
417,905 W Morton Ave,Jacksonville,US,Burger King,62650,IL
418,1690 E Jackson St Ste F,Macomb,US,Arby's,61455,IL
