ID,address,city,country,name,postalCode,state
2725,1320 S Main St,Mansfield,US,Taco Bell,16933,PA
2726,2900 Philadelphia Ave,Ocean City,US,Tommy's Sub Shop,21842,MD
2727,1386 Fordham Dr,Virginia Beach,US,Burger King,23464,VA
2728,4756 S Highland Dr,Salt Lake City,US,Domino's Pizza,84117,UT
2729,7530 W Clearwater Ave,Kennewick,US,Jimmy John's,99336,WA
2730,7494 Webb Dr,Gainesville,US,Roy Rogers,20155,VA
2731,900 E Loop 304,Crockett,US,Taco Bell,75835,TX
2732,1014 Main Street,Tuba City,US,Taco Bell,86045,AZ
2733,7453 Valley Pike,Middletown,US,McDonald's,22645,VA
2734,150 Holt Garrison Parkway,Danville,US,Sonic Drive-In,24540,VA
2735,7099 11th St N,Saint Paul,US,Hardee's,55128,MN
2736,29840 Santa Margarita Pkwy,Rancho Santa Margarita,US,KFC,92688,CA
2737,5260 N Port Washington Rd,Milwaukee,US,Arby's,53217,WI
2738,4620 S Redwood Rd,Salt Lake City,US,Del Taco,84123,UT
2739,1475 Concord Pkwy N,Concord,US,Chick-fil-A,28025,NC
2740,227 128th St SW,Everett,US,KFC,98204,WA
2741,1100 Route 9 South,Old Bridge,US,KFC,8857,NJ
2742,6712 Forest Hill Blvd,West Palm Beach,US,KFC,33413,FL
2743,667 Royal Palm Beach Blvd,West Palm Beach,US,KFC,33411,FL
2744,727 E Brundage Ln,Sheridan,US,Jimmy John's,82801,WY
2745,1695 Coffeen Ave,Sheridan,US,Subway,82801,WY
2746,1729 Dell Range Blvd,Cheyenne,US,Taco Bell,82009,WY
2747,54 E May St,Winder,US,Captain D's,30680,GA
2748,512 E Nelson St,Lexington,US,Arby's,24450,VA
2749,531 E Nelson St,Lexington,US,Wendy's,24450,VA
2750,798 N Main St,Marion,US,KFC,24354,VA
2751,905 N Main St,Marion,US,Long John Silver's,24354,VA
2752,347 N Main St,Marion,US,Hardee's,24354,VA
2753,947 N Main St,Marion,US,Arby's,24354,VA
2754,811 N Main St,Marion,US,Wendy's,24354,VA
2755,7938 Winchester Rd,Memphis,US,Checkers,38125,TN
2756,9247 Middlebelt Rd,Romulus,US,Checkers,48174,MI
2757,140 S 8th St,Medford,US,McDonald's,54451,WI
2758,230 S 8th St,Medford,US,Hardee's,54451,WI
2759,2410 S Cobb Dr SE,Smyrna,US,Checkers,30080,GA
2760,701 Northside Dr E,Statesboro,US,Checkers,30458,GA
2761,249 S Mountain Blvd,Mountain Top,US,McDonald's,18707,PA
2762,2401 S Smith Blvd,Arlington,US,Five Guys,22202,VA
2763,1135 Northern Blvd,Clarks Summit,US,Wendy's,18411,PA
2764,224 Allegheny Boulevard,Brookville,US,Arby's,15825,PA
2765,801 Sr 29 N,Tunkhannock,US,Burger King,18657,PA
2766,2185 S Broadway,Santa Maria,US,Carl's Jr.,93454,CA
2767,294 E Baltimore Ave,Media,US,Wendy's,19063-3411,PA
2768,2050 W Main St,Turlock,US,Taco Bell,95380,CA
2769,3430 Tully Rd Ste 65,Modesto,US,Jack in the Box,95350,CA
2770,1020 West Fulton St Suite G,Waupaca,US,Arby's,54981,WI
2771,24429 Riverside Dr,Grundy,US,Hardee's,24614,VA
2772,1877 Carrollton Pike,Hillsville,US,McDonald's,24343,VA
2773,115 N Main St,Hillsville,US,Hardee's,24343,VA
2774,1200 Broadway,Placerville,US,McDonald's,95667,CA
2775,1001 Sperry Ave,Patterson,US,McDonald's,95363,CA
2776,100 Walker St,Lexington,US,KFC,24450,VA
2777,2715 Black Oak Dr,Paso Robles,US,McDonald's,93446,CA
2778,27494 Dana Circle,Kettleman City,US,Taco Bell,93239,CA
2779,4821 Williamsburg Rd,Henrico,US,KFC,23231,VA
2780,700a Main St N,Amory,US,Domino's Pizza,38821,MS
2781,142 S George St,York,US,McDonald's,17401,PA
2782,601 N Enola Rd,Enola,US,Wendy's,17025,PA
2783,1075 W Henderson Ave,Porterville,US,Jack in the Box,93257,CA
2784,805 N Main St,Providence,US,KFC,2904,RI
2785,2304 Spring St,Paso Robles,US,Jack in the Box,93446,CA
2786,181 James Reynolds Road,Swansea,US,McDonald's,2777,MA
2787,127 Motel Dr,Saint George,US,Waffle House,29477,SC
2788,1622 US Hwy 501,Conway,US,McDonald's,29526,SC
2789,2913 Hwy 17 Business,Murrells Inlet,US,McDonald's,29576,SC
2790,2306 S Broadway,Santa Maria,US,Jack in the Box,93454,CA
2791,1041 E Main St,Santa Maria,US,Jack in the Box,93454,CA
2792,2610 Hilltop Dr,Redding,US,Taco Bell,96002,CA
2793,955 Embarcadero del Mar,Goleta,US,Domino's Pizza,93117,CA
2794,295 Academy Ave,Sanger,US,McDonald's,93657,CA
2795,2349 Taylor St,Columbia,US,KFC,29204,SC
2796,191 E Highway 246,Buellton,US,Taco Bell,93427,CA
2797,4301 Sunset Blvd,Lexington,US,Hardee's,29072,SC
2798,61104 Airport Rd,Slidell,US,Krystal,70460,LA
2799,106 Highway 72,South Pittsburg,US,Krystal,37380,TN
2800,860 N Orleans St,Chicago,US,BIG & little's Restaurant,60610,IL
2801,120 Veterans Rd,Columbia,US,Hardee's,29209,SC
2802,2340 Decker Blvd,Columbia,US,KFC,29206,SC
2803,1919 S Broadway,Santa Maria,US,Taco Bell,93454,CA
2804,8208 Two Notch Rd,Columbia,US,Waffle House,29223,SC
2805,210 W Columbia Ave,Batesburg,US,McDonald's,29006,SC
2806,2200 W Dekalb St,Camden,US,Arby's,29020,SC
2807,500 Hopkins Corner Dr,Waynesboro,US,Burger King,30830,GA
2808,10809 Turner Blvd,Longmont,US,Arby's,80504,CO
2809,2339 N Main Street,Longmont,US,SONIC Drive In,80501,CO
2810,8401 Dorchester Road,North Charleston,US,McDonald's,29420,SC
2811,302 College Park Blvd,Ladson,US,McDonald's,29456,SC
2812,6889 Dorchester Rd,North Charleston,US,Burger King,29418,SC
2813,4709 Dorchester Rd,North Charleston,US,Burger King,29405,SC
2814,7250 Rivers Ave,Charleston,US,Five Guys,29406,SC
2815,103 McMurry Blvd,Hartsville,US,McDonald's,37074,TN
